Outlook,Temperature,Humidity,Wind,PlayTennis
Sunny,Hot,High,Weak,No
Sunny,Hot,High,Strong,No
Overcast,Hot,High,Weak,Yes
Rain,Mild,High,Weak,Yes
Rain,Cool,Normal,Weak,Yes
Rain,Cool,Normal,Strong,No
Overcast,Mild,High,Strong,Yes
Sunny,Cool,High,Weak,No
Sunny,Mild,Normal,Weak,Yes
Rain,Mild,Normal,Strong,No
Sunny,Cool,Normal,Strong,No
Overcast,Mild,Normal,Weak,Yes
Overcast,Hot,High,Strong,Yes
Rain,Mild,Normal,Weak,Yes
Sunny,Hot,High,Weak,No
Sunny,Cool,Normal,Strong,Yes
Overcast,Mild,High,Weak,Yes
Rain,Cool,Normal,Strong,No
Sunny,Hot,High,Strong,No
Rain,Mild,Normal,Strong,Yes
Overcast,Cool,Normal,Weak,Yes
Sunny,Mild,High,Strong,No
Rain,Hot,Normal,Weak,Yes
Sunny,Cool,High,Strong,No
Overcast,Mild,Normal,Weak,Yes
Rain,Hot,High,Strong,No
Sunny,Mild,High,Weak,Yes
Overcast,Cool,High,Strong,Yes
Rain,Hot,Normal,Weak,No
Sunny,Mild,Normal,Weak,No
